eb08d1,2024-12-05 10:47:04,OPEN,,
41b8a5,2024-12-05 10:47:16,TEST,motouber,0
5844f5,2024-12-05 10:47:35,TEST,motouber,0
e99931,2024-12-05 13:45:34,TEST,motouber,0
f5dff8,2024-12-05 14:02:48,TEST,motouber,COMP
45452e,2024-12-05 14:04:37,TEST,motouber,COMP
62f194,2024-12-05 14:05:21,TEST,motouber,COMP
41508b,2024-12-05 14:07:32,OPEN,,
1f445e,2024-12-05 14:07:35,TEST,motouber,COMP
69ead8,2024-12-05 14:08:38,TEST,motouber,0
7898e4,2024-12-05 14:11:00,TEST,motouber,0
265ddb,2024-12-05 14:11:53,TEST,motouber,12
609d0e,2024-12-05 14:17:51,TEST,motouber,12
c88911,2024-12-05 14:18:35,TEST,motouber,12
715f59,2024-12-05 14:25:09,TEST,motouber,25
25d236,2024-12-05 14:25:11,TEST,motouber,25
a8e7e0,2024-12-05 14:27:09,TEST,motouber,25
b5c508,2024-12-05 14:28:19,TEST,motouber,50
721db4,2024-12-05 14:30:16,TEST,motouber,COMP
73e06f,2024-12-05 14:31:05,TEST,motouber,50
f93980,2024-12-05 14:31:43,TEST,motouber,75
4e3293,2024-12-05 14:39:57,TEST,motouber,75
1f6e8e,2024-12-05 14:40:47,TEST,motouber,75
b28c3e,2024-12-05 14:43:25,TEST,motouber,87
edb5b3,2024-12-05 14:45:57,OPEN,,
6a3261,2024-12-05 14:46:02,TEST,motouber,87
45e122,2024-12-05 14:47:22,TEST,motouber,87
c2adbf,2024-12-05 14:49:05,TEST,motouber,87
ffdd6f,2024-12-05 14:49:23,TEST,motouber,100
77c009,2024-12-05 14:50:12,PROG,motouber,100
f83386,2024-12-05 14:50:19,QUIT,,
